,hour,interval,mu,sigma,ks_statistic,ks_pvalue,n_samples
0,1,0-25,1.3524106693855398,7.724832568260591,0.047192768218645986,4.435247591331875e-203,104700
1,1,25-50,-0.4621416446187987,10.469763024420898,0.007159215401654484,0.0030919529067199797,63090
2,1,50-100,-1.5019726734783425,14.179444054140326,0.01746136655605285,4.1741713957276327e-13,47859
3,1,100-150,4.543943675213676,18.66132502873101,0.029421185999555177,0.11503178169043415,1638
4,1,150-250,,,,,0
5,2,0-25,0.8796913958521527,7.937427991623431,0.0542829552096219,1.0619888520020535e-270,105525
6,2,25-50,-0.6204563376289908,11.12973941535121,0.006156823533815636,0.018214349912704625,61923
7,2,50-100,-0.8555799219850764,15.181359132286914,0.01289621180824635,2.3244139406293342e-07,47978
8,2,100-150,7.678310291111112,19.673099424849816,0.028241240110448596,0.11110801961598948,1800
9,2,150-250,,,,,0
10,3,0-25,0.7714193590080163,8.118878855410776,0.05563887696303821,3.1008830710143524e-284,105471
11,3,25-50,-0.6892614803676398,11.835687327897942,0.011144768178896036,4.5075572596119144e-07,61582
12,3,50-100,-0.4748178941949708,16.27551565202988,0.011547721791863474,5.3547316283874995e-06,48079
13,3,100-150,11.185054979571499,20.416661025181252,0.01353240919214227,0.850888218735061,2007
14,3,150-250,,,,,0
15,4,0-25,0.7261211045361088,8.240162684162057,0.05594601075166988,2.6520389383580687e-287,105443
16,4,25-50,-0.9066779084888621,12.317949403844892,0.015887930759984292,6.621921551471446e-14,61457
17,4,50-100,-0.23600790475893071,16.99852905681662,0.010919589985752265,2.1025738560836305e-05,48036
18,4,100-150,13.620747625231054,21.357844489170155,0.018861995199644488,0.4194925331298349,2164
19,4,150-250,49.77119714285714,25.066037792457465,0.22071487631722797,0.8185019493146688,7
20,5,0-25,0.6990780538929068,8.364049197779657,0.0584461208995804,1.2527897316667e-311,104801
21,5,25-50,-0.9392242424266914,12.665009038506016,0.017326309067987822,1.4601587542491535e-16,61862
22,5,50-100,-0.027863977162988256,17.632384345761515,0.009159560886649237,0.0006051548915533036,48255
23,5,100-150,15.079794840853955,21.94507070696547,0.018138077479057213,0.5007758125251427,2061
24,5,150-250,37.863368888888886,19.9644761410063,0.2819398572788376,0.3973689270867663,9
25,6,0-25,0.7551260307756861,8.390471730831104,0.06177819795076167,0.0,104379
26,6,25-50,-0.8362434196187436,12.870085885059286,0.018372476261672377,5.375860821347153e-19,63317
27,6,50-100,-0.46149248503421353,18.053836396955404,0.0074689896914483245,0.0097804658759232,47642
28,6,100-150,15.768829474433314,21.976903712497496,0.01292167258655405,0.9052254887772696,1897
29,6,150-250,39.17636714285714,20.03909294688168,0.17064273173928357,0.9652799067689402,7
30,7,0-25,0.88514503911159,8.378043694638453,0.06025478543682389,0.0,102192
31,7,25-50,-0.5327818886394868,12.949641671739762,0.01902346886205486,5.106101561062541e-21,65490
32,7,50-100,-0.8248948758737953,18.308053365328416,0.006490569216916375,0.03597759313790205,47637
33,7,100-150,15.640669511707598,21.292691088784327,0.01972524795203706,0.4972056887840488,1751
34,7,150-250,45.186527142857145,23.23959413770861,0.1881257956990296,0.9286204312882866,7
35,8,0-25,1.0304187532896574,8.387608674507707,0.06247246995313671,0.0,100997
36,8,25-50,-0.3623231420993647,12.982669195638282,0.01908980489528017,1.2881577363765917e-21,66925
37,8,50-100,-1.0025733443042757,18.312374519321843,0.0061115850747455736,0.05670539397665719,47641
38,8,100-150,15.432670645406672,21.53643169631532,0.015104736964495491,0.8245910620722251,1709
39,8,150-250,32.114958,20.741419498120568,0.2364091120254571,0.8840841835192127,5
40,9,0-25,1.247716441287666,8.411043488168906,0.06550765318659985,0.0,100436
41,9,25-50,-0.25794178108244964,12.969649331418047,0.018091397059445402,1.6078037671168013e-19,67144
42,9,50-100,-0.8353423515429527,18.16848479166988,0.007188328959398027,0.014008873646406161,47960
43,9,100-150,14.809397583333334,21.79865269041154,0.023468658083010796,0.3290623185519712,1620
44,9,150-250,34.216386666666665,13.396780573909878,0.27624925230957204,0.9368365463883809,3
45,10,0-25,1.2747770401637386,8.383575687405408,0.05956597905789496,2.310175349065e-310,100484
46,10,25-50,-0.40919459976489125,13.049749040089537,0.01756515323958996,1.927759554709849e-18,67203
47,10,50-100,-0.6747062369951873,18.11041804000855,0.00608153125093186,0.05807774437255597,47790
48,10,100-150,13.377828705735661,22.09747262118739,0.031918218223341066,0.07451922490604068,1604
49,10,150-250,,,,,0
50,11,0-25,1.264535217576731,8.470628586094202,0.05804968493213547,3.3420354789927154e-296,100972
51,11,25-50,-0.36890152916672947,13.094397428971423,0.01872759318067696,1.0885663161878617e-20,66497
52,11,50-100,-0.7589924488210298,18.03338945693881,0.006317266126921184,0.0431581969353253,48008
53,11,100-150,12.808803547145608,22.237940077960307,0.0346545553980977,0.04619119065591293,1559
54,11,150-250,,,,,0
55,12,0-25,1.137674609143164,8.611903988084956,0.057088318009824446,6.2116402587183e-288,101485
56,12,25-50,-0.2897895965804914,13.107585854753074,0.018651398235674244,3.2990886339109505e-20,65448
57,12,50-100,-0.5094682790481885,18.02151280728882,0.0061657456272575795,0.04986890247920672,48497
58,12,100-150,14.014570739490445,22.61990317899209,0.0222126466623237,0.4147481945013932,1570
59,12,150-250,27.616844999999998,1.8743850000000037,0.3413447460685429,0.9332490989253873,2
60,13,0-25,1.2450928958519916,8.673046939876242,0.05783810474602136,1.3414694872292302e-296,101849
61,13,25-50,-0.37295987285866433,13.146688575679088,0.018365149584584073,1.0921900258766236e-19,65730
62,13,50-100,-0.8002776720853653,18.016651768347675,0.004758682086052568,0.2265934601020152,47982
63,13,100-150,14.897220698463508,22.52435288332399,0.01571223243430675,0.8293579167296774,1562
64,13,150-250,,,,,0
65,14,0-25,1.426728437130064,8.710430587739046,0.05999869038083194,2.156e-320,102243
66,14,25-50,-0.39743588971282395,13.249045825531201,0.0197080568141218,1.371765381614906e-22,65674
67,14,50-100,-1.0110729155423126,18.00068913629356,0.0060572963264678426,0.060320618696726225,47657
68,14,100-150,14.471253156389068,22.465768836188,0.016389117073350723,0.7855524710766482,1573
69,14,150-250,,,,,1
70,15,0-25,1.6813088151278823,8.699371173701193,0.05850603739574001,8.390525746218222e-303,101620
71,15,25-50,-0.5120030756012723,13.256051905401483,0.01952520801213453,1.0393396261339742e-22,67274
72,15,50-100,-1.2869420894046115,18.05353570261236,0.007360300896896627,0.012618061020197031,46709
73,15,100-150,15.014584697368418,22.451856296096867,0.019478603037098696,0.5731903378153694,1596
74,15,150-250,55.33178000000001,24.0839,0.3413447460685429,0.9332490989253873,2
75,16,0-25,1.8420094278607715,8.6233015588858,0.055714210170226985,6.564034507053115e-273,100988
76,16,25-50,-0.336891477257268,13.112008203412614,0.019186859102594267,4.675073901741272e-22,67626
77,16,50-100,-1.246217414045183,17.971653843752044,0.008047232290348233,0.004565796928811847,46920
78,16,100-150,14.403225850538314,22.168736411077166,0.01744200979531918,0.7158448208725239,1579
79,16,150-250,,,,,0
80,17,0-25,1.8015993969751087,8.616236942090291,0.054465642508075895,3.9261911664524865e-261,101107
81,17,25-50,-0.14597351053294924,12.952629924910422,0.016516943702057363,3.1804004511728077e-16,66648
82,17,50-100,-0.9436831841390775,17.947286334606076,0.008619920402946207,0.001706343271552276,47513
83,17,100-150,14.194428042767298,22.60100963170299,0.015967917901194006,0.8060553420220344,1590
84,17,150-250,52.345415,22.45649499999999,0.3413447460685429,0.9332490989253873,2
85,18,0-25,1.9237658999824658,8.712952048222999,0.05442272689213373,2.4017078407531484e-262,101738
86,18,25-50,-0.1901755539854576,13.040368371518287,0.01630071437180547,1.4290356893722742e-15,65601
87,18,50-100,-0.38735438874045003,18.052340708411688,0.007860299895832146,0.005343760476292257,47906
88,18,100-150,12.4682621701995,21.535770093871758,0.012677265811131586,0.9558877801686618,1604
89,18,150-250,51.83687499999999,21.752825,0.3413447460685429,0.9332490989253873,2
90,19,0-25,1.929668119453988,8.630020070578455,0.054661034988411905,2.4348683170800922e-263,101235
91,19,25-50,0.0006562290981805741,13.066666133772598,0.015292643514152826,7.708502514610755e-14,66011
92,19,50-100,-0.18648158687467492,18.160742466800166,0.007463176456972975,0.009397336298934826,48075
93,19,100-150,11.307246255451712,20.880275745887214,0.017642396952943618,0.6930092587703123,1605
94,19,150-250,,,,,1
95,20,0-25,1.8964878294360779,8.570184615186847,0.05913236960070678,6.6597316326662304e-307,100826
96,20,25-50,0.061506415858364125,12.978532776276122,0.014269809535756739,4.055544957269903e-12,66085
97,20,50-100,-0.17551049898020138,18.28641349605393,0.005844274000218197,0.0723270064670789,48539
98,20,100-150,12.42492932795352,20.864562492026952,0.023940948200851186,0.33184247974643766,1549
99,20,150-250,,,,,1
100,21,0-25,1.9515999707802247,8.594535382369836,0.0575174067248837,2.7388167005642298e-288,100099
101,21,25-50,0.2758605194901528,13.013402803006896,0.01736132027032594,1.0005795069764136e-17,66059
102,21,50-100,-0.48612302255303597,18.20383279290441,0.009185047944692104,0.00048444501344795473,49306
103,21,100-150,12.405910458208954,20.900103913368447,0.028014304883502206,0.23918180343949091,1340
104,21,150-250,,,,,0
105,22,0-25,1.8561964938871995,8.635121214958604,0.05664271938743848,2.0926770815493268e-280,100390
106,22,25-50,0.2204755974970763,12.99525615355032,0.017334030203910555,1.2911320035557564e-17,65843
107,22,50-100,-0.7795333862255505,18.119538579464404,0.010877943192248773,1.6067708945665926e-05,49541
108,22,100-150,12.442317942658557,22.33050078419946,0.049442931541437196,0.006948097760466119,1151
109,22,150-250,,,,,0
110,23,0-25,1.71780623588714,8.680997823188404,0.05916166556655317,4.66268017935487e-310,101763
111,23,25-50,0.09161080564966487,13.100940377301642,0.016763641548814268,3.2884017811261617e-16,64641
112,23,50-100,-0.8622046223627838,18.19089096914915,0.009979137228462331,0.00010419694317505127,49484
113,23,100-150,12.658471522911052,23.051523543497506,0.043595321928348585,0.02822618430689905,1113
114,23,150-250,,,,,0
115,24,0-25,1.7306138301591534,8.686712653976635,0.0594583027265031,4.78061456693e-313,101722
116,24,25-50,-0.34844181793876416,13.369671339668473,0.015535534805842022,2.6138112749648133e-14,66203
117,24,50-100,-1.4976953038679774,18.603156564996226,0.009435054806740312,0.0003784841427893319,48113
118,24,100-150,11.580857783861672,24.295944772882084,0.0357548451050137,0.13630692874649564,1041
119,24,150-250,,,,,0
