,hour,station,interval,mu,sigma,ks_statistic,ks_pvalue,n_samples
148,1,VIF,100-150,10.089257500000002,3.4097275000000025,0.3413447460685429,0.9332490989253873,2
149,1,VIF,150-250,,,,,0
150,2,UIZ,0-25,0.7555314710543124,6.927425122441678,0.07385447594405836,3.8188506457405826e-19,3942
151,2,UIZ,25-50,-3.089338412400866,11.241516711592613,0.013448516694457013,0.9604962413942454,1387
152,2,UIZ,50-100,-2.324419546072507,14.021477136754577,0.02928035886869662,0.20236189295945373,1324
153,2,UIZ,100-150,0.2132791999999995,2.752734007249622,0.18921575996464846,0.9782960329838665,5
154,2,UIZ,150-250,,,,,0
155,2,AJU,0-25,8.334613930054152,8.066634070381193,0.0859381861288453,1.439316156148023e-07,1108
156,2,AJU,25-50,0.3348516566908936,12.402995951139244,0.048095454950274175,3.8513537944341947e-05,2339
157,2,AJU,50-100,-14.781249797117514,17.24434159927545,0.026767408948596083,0.5289330467570932,902
158,2,AJU,100-150,,,,,0
159,2,AJU,150-250,,,,,0
160,2,ATI,0-25,1.7947515782327854,7.258644223961072,0.06490654904249726,1.8286108043476547e-12,3282
161,2,ATI,25-50,3.258663308588064,9.635403088012318,0.0139341335079185,0.9489770502822448,1374
162,2,ATI,50-100,8.26279699339207,12.330194036598531,0.019609907391312298,0.6639746423579574,1362
163,2,ATI,100-150,23.36959984090909,16.59871738747574,0.05891675458190315,0.9956992328792296,44
164,2,ATI,150-250,,,,,0
165,2,CUA,0-25,-2.935348587440759,8.35451641355129,0.018642413958602555,0.1409159428882586,3798
166,2,CUA,25-50,-3.3679779808347527,9.502647806513686,0.023929948637877674,0.13367783133103217,2348
167,2,CUA,50-100,0.6120480368802901,16.63030813160715,0.01411673538863567,0.8918248907095608,1654
168,2,CUA,100-150,8.649292074074074,25.07220850124679,0.12788757374573378,0.7219564347346319,27
169,2,CUA,150-250,,,,,0
170,2,SFE,0-25,2.580390618013986,7.689176676588587,0.05922964541194631,2.412698319354701e-11,3575
171,2,SFE,25-50,0.9355455789218061,10.56779990157172,0.018526807070679108,0.473983502385117,2059
172,2,SFE,50-100,4.981690245952677,15.847279506472557,0.03348777110015588,0.053309634671350414,1606
